feature_name,feature_group
aligned_embedding_172,aligned_embedding
aligned_embedding_173,aligned_embedding
aligned_embedding_174,aligned_embedding
aligned_embedding_175,aligned_embedding
aligned_embedding_176,aligned_embedding
aligned_embedding_177,aligned_embedding
aligned_embedding_178,aligned_embedding
aligned_embedding_179,aligned_embedding
aligned_embedding_180,aligned_embedding
aligned_embedding_181,aligned_embedding
aligned_embedding_182,aligned_embedding
aligned_embedding_183,aligned_embedding
aligned_embedding_184,aligned_embedding
aligned_embedding_185,aligned_embedding
aligned_embedding_186,aligned_embedding
aligned_embedding_187,aligned_embedding
aligned_embedding_188,aligned_embedding
aligned_embedding_189,aligned_embedding
aligned_embedding_190,aligned_embedding
aligned_embedding_191,aligned_embedding
aligned_embedding_192,aligned_embedding
aligned_embedding_193,aligned_embedding
aligned_embedding_194,aligned_embedding
aligned_embedding_195,aligned_embedding
aligned_embedding_196,aligned_embedding
aligned_embedding_197,aligned_embedding
aligned_embedding_198,aligned_embedding
aligned_embedding_199,aligned_embedding
aligned_embedding_200,aligned_embedding
aligned_embedding_201,aligned_embedding
aligned_embedding_202,aligned_embedding
aligned_embedding_203,aligned_embedding
aligned_embedding_204,aligned_embedding
aligned_embedding_205,aligned_embedding
aligned_embedding_206,aligned_embedding
aligned_embedding_207,aligned_embedding
aligned_embedding_208,aligned_embedding
aligned_embedding_209,aligned_embedding
aligned_embedding_210,aligned_embedding
aligned_embedding_211,aligned_embedding
aligned_embedding_212,aligned_embedding
aligned_embedding_213,aligned_embedding
aligned_embedding_214,aligned_embedding
aligned_embedding_215,aligned_embedding
aligned_embedding_216,aligned_embedding
aligned_embedding_217,aligned_embedding
aligned_embedding_218,aligned_embedding
aligned_embedding_219,aligned_embedding
aligned_embedding_220,aligned_embedding
aligned_embedding_221,aligned_embedding
aligned_embedding_222,aligned_embedding
aligned_embedding_223,aligned_embedding
aligned_embedding_224,aligned_embedding
aligned_embedding_225,aligned_embedding
aligned_embedding_226,aligned_embedding
aligned_embedding_227,aligned_embedding
aligned_embedding_228,aligned_embedding
aligned_embedding_229,aligned_embedding
aligned_embedding_230,aligned_embedding
aligned_embedding_231,aligned_embedding
aligned_embedding_232,aligned_embedding
aligned_embedding_233,aligned_embedding
aligned_embedding_234,aligned_embedding
aligned_embedding_235,aligned_embedding
aligned_embedding_236,aligned_embedding
aligned_embedding_237,aligned_embedding
aligned_embedding_238,aligned_embedding
aligned_embedding_239,aligned_embedding
aligned_embedding_240,aligned_embedding
aligned_embedding_241,aligned_embedding
aligned_embedding_242,aligned_embedding
aligned_embedding_243,aligned_embedding
aligned_embedding_244,aligned_embedding
aligned_embedding_245,aligned_embedding
aligned_embedding_246,aligned_embedding
aligned_embedding_247,aligned_embedding
aligned_embedding_248,aligned_embedding
aligned_embedding_249,aligned_embedding
aligned_embedding_250,aligned_embedding
aligned_embedding_251,aligned_embedding
aligned_embedding_252,aligned_embedding
aligned_embedding_253,aligned_embedding
aligned_embedding_254,aligned_embedding
aligned_embedding_255,aligned_embedding
dbp__last__mean,structured
dbp__max__mean,structured
dbp__mean__mean,structured
dbp__min__mean,structured
glucose_chart__last__mean,structured
glucose_chart__max__mean,structured
glucose_chart__mean__mean,structured
glucose_chart__min__mean,structured
heart_rate__last__mean,structured
heart_rate__max__mean,structured
heart_rate__mean__mean,structured
heart_rate__min__mean,structured
map__last__mean,structured
map__max__mean,structured
map__mean__mean,structured
map__min__mean,structured
respiratory_rate__last__mean,structured
respiratory_rate__max__mean,structured
respiratory_rate__mean__mean,structured
respiratory_rate__min__mean,structured
sbp__last__mean,structured
sbp__max__mean,structured
sbp__mean__mean,structured
sbp__min__mean,structured
spo2__last__mean,structured
spo2__max__mean,structured
spo2__mean__mean,structured
spo2__min__mean,structured
temperature_c__last__mean,structured
temperature_c__max__mean,structured
temperature_c__mean__mean,structured
temperature_c__min__mean,structured
bicarbonate__last__mean,structured
bicarbonate__max__mean,structured
bicarbonate__mean__mean,structured
bicarbonate__min__mean,structured
bilirubin__last__mean,structured
bilirubin__max__mean,structured
bilirubin__mean__mean,structured
bilirubin__min__mean,structured
bun__last__mean,structured
bun__max__mean,structured
bun__mean__mean,structured
bun__min__mean,structured
creatinine__last__mean,structured
creatinine__max__mean,structured
creatinine__mean__mean,structured
creatinine__min__mean,structured
hemoglobin__last__mean,structured
hemoglobin__max__mean,structured
hemoglobin__mean__mean,structured
hemoglobin__min__mean,structured
lactate__last__mean,structured
lactate__max__mean,structured
lactate__mean__mean,structured
lactate__min__mean,structured
platelet__last__mean,structured
platelet__max__mean,structured
platelet__mean__mean,structured
platelet__min__mean,structured
potassium__last__mean,structured
potassium__max__mean,structured
potassium__mean__mean,structured
potassium__min__mean,structured
sodium__last__mean,structured
sodium__max__mean,structured
sodium__mean__mean,structured
sodium__min__mean,structured
wbc__last__mean,structured
wbc__max__mean,structured
wbc__mean__mean,structured
wbc__min__mean,structured
age_at_icu_intime__mean,structured
hours_since_icu_admit__mean,structured
hours_to_prediction__mean,structured
dbp__last__min,structured
dbp__max__min,structured
dbp__mean__min,structured
dbp__min__min,structured
glucose_chart__last__min,structured
glucose_chart__max__min,structured
glucose_chart__mean__min,structured
glucose_chart__min__min,structured
heart_rate__last__min,structured
heart_rate__max__min,structured
heart_rate__mean__min,structured
heart_rate__min__min,structured
map__last__min,structured
map__max__min,structured
map__mean__min,structured
map__min__min,structured
respiratory_rate__last__min,structured
respiratory_rate__max__min,structured
respiratory_rate__mean__min,structured
respiratory_rate__min__min,structured
sbp__last__min,structured
sbp__max__min,structured
sbp__mean__min,structured
sbp__min__min,structured
spo2__last__min,structured
spo2__max__min,structured
spo2__mean__min,structured
spo2__min__min,structured
temperature_c__last__min,structured
temperature_c__max__min,structured
temperature_c__mean__min,structured
temperature_c__min__min,structured
bicarbonate__last__min,structured
bicarbonate__max__min,structured
bicarbonate__mean__min,structured
bicarbonate__min__min,structured
bilirubin__last__min,structured
bilirubin__max__min,structured
bilirubin__mean__min,structured
bilirubin__min__min,structured
bun__last__min,structured
bun__max__min,structured
bun__mean__min,structured
bun__min__min,structured
creatinine__last__min,structured
creatinine__max__min,structured
creatinine__mean__min,structured
creatinine__min__min,structured
hemoglobin__last__min,structured
hemoglobin__max__min,structured
hemoglobin__mean__min,structured
hemoglobin__min__min,structured
lactate__last__min,structured
lactate__max__min,structured
lactate__mean__min,structured
lactate__min__min,structured
platelet__last__min,structured
platelet__max__min,structured
platelet__mean__min,structured
platelet__min__min,structured
potassium__last__min,structured
potassium__max__min,structured
potassium__mean__min,structured
potassium__min__min,structured
sodium__last__min,structured
sodium__max__min,structured
sodium__mean__min,structured
sodium__min__min,structured
wbc__last__min,structured
wbc__max__min,structured
wbc__mean__min,structured
wbc__min__min,structured
age_at_icu_intime__min,structured
hours_since_icu_admit__min,structured
hours_to_prediction__min,structured
dbp__last__max,structured
dbp__max__max,structured
dbp__mean__max,structured
dbp__min__max,structured
glucose_chart__last__max,structured
glucose_chart__max__max,structured
glucose_chart__mean__max,structured
glucose_chart__min__max,structured
heart_rate__last__max,structured
heart_rate__max__max,structured
heart_rate__mean__max,structured
heart_rate__min__max,structured
map__last__max,structured
map__max__max,structured
map__mean__max,structured
map__min__max,structured
respiratory_rate__last__max,structured
respiratory_rate__max__max,structured
respiratory_rate__mean__max,structured
respiratory_rate__min__max,structured
sbp__last__max,structured
sbp__max__max,structured
sbp__mean__max,structured
sbp__min__max,structured
spo2__last__max,structured
spo2__max__max,structured
spo2__mean__max,structured
spo2__min__max,structured
temperature_c__last__max,structured
temperature_c__max__max,structured
temperature_c__mean__max,structured
temperature_c__min__max,structured
bicarbonate__last__max,structured
bicarbonate__max__max,structured
bicarbonate__mean__max,structured
bicarbonate__min__max,structured
bilirubin__last__max,structured
bilirubin__max__max,structured
bilirubin__mean__max,structured
bilirubin__min__max,structured
bun__last__max,structured
bun__max__max,structured
bun__mean__max,structured
bun__min__max,structured
creatinine__last__max,structured
creatinine__max__max,structured
creatinine__mean__max,structured
creatinine__min__max,structured
hemoglobin__last__max,structured
hemoglobin__max__max,structured
hemoglobin__mean__max,structured
hemoglobin__min__max,structured
lactate__last__max,structured
lactate__max__max,structured
lactate__mean__max,structured
lactate__min__max,structured
platelet__last__max,structured
platelet__max__max,structured
platelet__mean__max,structured
platelet__min__max,structured
potassium__last__max,structured
potassium__max__max,structured
potassium__mean__max,structured
potassium__min__max,structured
sodium__last__max,structured
sodium__max__max,structured
sodium__mean__max,structured
sodium__min__max,structured
wbc__last__max,structured
wbc__max__max,structured
wbc__mean__max,structured
wbc__min__max,structured
age_at_icu_intime__max,structured
hours_since_icu_admit__max,structured
hours_to_prediction__max,structured
dbp__last__last,structured
dbp__max__last,structured
dbp__mean__last,structured
dbp__min__last,structured
glucose_chart__last__last,structured
glucose_chart__max__last,structured
glucose_chart__mean__last,structured
glucose_chart__min__last,structured
heart_rate__last__last,structured
heart_rate__max__last,structured
heart_rate__mean__last,structured
heart_rate__min__last,structured
map__last__last,structured
map__max__last,structured
map__mean__last,structured
map__min__last,structured
respiratory_rate__last__last,structured
respiratory_rate__max__last,structured
respiratory_rate__mean__last,structured
respiratory_rate__min__last,structured
sbp__last__last,structured
sbp__max__last,structured
sbp__mean__last,structured
sbp__min__last,structured
spo2__last__last,structured
spo2__max__last,structured
spo2__mean__last,structured
spo2__min__last,structured
temperature_c__last__last,structured
temperature_c__max__last,structured
temperature_c__mean__last,structured
temperature_c__min__last,structured
bicarbonate__last__last,structured
bicarbonate__max__last,structured
bicarbonate__mean__last,structured
bicarbonate__min__last,structured
bilirubin__last__last,structured
bilirubin__max__last,structured
bilirubin__mean__last,structured
bilirubin__min__last,structured
bun__last__last,structured
bun__max__last,structured
bun__mean__last,structured
bun__min__last,structured
creatinine__last__last,structured
creatinine__max__last,structured
creatinine__mean__last,structured
creatinine__min__last,structured
hemoglobin__last__last,structured
hemoglobin__max__last,structured
hemoglobin__mean__last,structured
hemoglobin__min__last,structured
lactate__last__last,structured
lactate__max__last,structured
lactate__mean__last,structured
lactate__min__last,structured
platelet__last__last,structured
platelet__max__last,structured
platelet__mean__last,structured
platelet__min__last,structured
potassium__last__last,structured
potassium__max__last,structured
potassium__mean__last,structured
potassium__min__last,structured
sodium__last__last,structured
sodium__max__last,structured
sodium__mean__last,structured
sodium__min__last,structured
wbc__last__last,structured
wbc__max__last,structured
wbc__mean__last,structured
wbc__min__last,structured
age_at_icu_intime__last,structured
hours_since_icu_admit__last,structured
hours_to_prediction__last,structured
dbp__last__missing_rate,structured
dbp__max__missing_rate,structured
dbp__mean__missing_rate,structured
dbp__min__missing_rate,structured
glucose_chart__last__missing_rate,structured
glucose_chart__max__missing_rate,structured
glucose_chart__mean__missing_rate,structured
glucose_chart__min__missing_rate,structured
heart_rate__last__missing_rate,structured
heart_rate__max__missing_rate,structured
heart_rate__mean__missing_rate,structured
heart_rate__min__missing_rate,structured
map__last__missing_rate,structured
map__max__missing_rate,structured
map__mean__missing_rate,structured
map__min__missing_rate,structured
respiratory_rate__last__missing_rate,structured
respiratory_rate__max__missing_rate,structured
respiratory_rate__mean__missing_rate,structured
respiratory_rate__min__missing_rate,structured
sbp__last__missing_rate,structured
sbp__max__missing_rate,structured
sbp__mean__missing_rate,structured
sbp__min__missing_rate,structured
spo2__last__missing_rate,structured
spo2__max__missing_rate,structured
spo2__mean__missing_rate,structured
spo2__min__missing_rate,structured
temperature_c__last__missing_rate,structured
temperature_c__max__missing_rate,structured
temperature_c__mean__missing_rate,structured
temperature_c__min__missing_rate,structured
bicarbonate__last__missing_rate,structured
bicarbonate__max__missing_rate,structured
bicarbonate__mean__missing_rate,structured
bicarbonate__min__missing_rate,structured
bilirubin__last__missing_rate,structured
bilirubin__max__missing_rate,structured
bilirubin__mean__missing_rate,structured
bilirubin__min__missing_rate,structured
bun__last__missing_rate,structured
bun__max__missing_rate,structured
bun__mean__missing_rate,structured
bun__min__missing_rate,structured
creatinine__last__missing_rate,structured
creatinine__max__missing_rate,structured
creatinine__mean__missing_rate,structured
creatinine__min__missing_rate,structured
hemoglobin__last__missing_rate,structured
hemoglobin__max__missing_rate,structured
hemoglobin__mean__missing_rate,structured
hemoglobin__min__missing_rate,structured
lactate__last__missing_rate,structured
lactate__max__missing_rate,structured
lactate__mean__missing_rate,structured
lactate__min__missing_rate,structured
platelet__last__missing_rate,structured
platelet__max__missing_rate,structured
platelet__mean__missing_rate,structured
platelet__min__missing_rate,structured
potassium__last__missing_rate,structured
potassium__max__missing_rate,structured
potassium__mean__missing_rate,structured
potassium__min__missing_rate,structured
sodium__last__missing_rate,structured
sodium__max__missing_rate,structured
sodium__mean__missing_rate,structured
sodium__min__missing_rate,structured
wbc__last__missing_rate,structured
wbc__max__missing_rate,structured
wbc__mean__missing_rate,structured
wbc__min__missing_rate,structured
age_at_icu_intime__missing_rate,structured
hours_since_icu_admit__missing_rate,structured
hours_to_prediction__missing_rate,structured
static_GENDER_F,structured
static_GENDER_M,structured
static_ETHNICITY_AMERICAN INDIAN/ALASKA NATIVE,structured
static_ETHNICITY_AMERICAN INDIAN/ALASKA NATIVE FEDERALLY RECOGNIZED TRIBE,structured
static_ETHNICITY_ASIAN,structured
static_ETHNICITY_ASIAN - ASIAN INDIAN,structured
static_ETHNICITY_ASIAN - CAMBODIAN,structured
static_ETHNICITY_ASIAN - CHINESE,structured
static_ETHNICITY_ASIAN - FILIPINO,structured
static_ETHNICITY_ASIAN - JAPANESE,structured
static_ETHNICITY_ASIAN - KOREAN,structured
static_ETHNICITY_ASIAN - OTHER,structured
static_ETHNICITY_ASIAN - THAI,structured
static_ETHNICITY_ASIAN - VIETNAMESE,structured
static_ETHNICITY_BLACK/AFRICAN,structured
static_ETHNICITY_BLACK/AFRICAN AMERICAN,structured
static_ETHNICITY_BLACK/CAPE VERDEAN,structured
static_ETHNICITY_BLACK/HAITIAN,structured
static_ETHNICITY_CARIBBEAN ISLAND,structured
static_ETHNICITY_HISPANIC OR LATINO,structured
static_ETHNICITY_HISPANIC/LATINO - CENTRAL AMERICAN (OTHER),structured
static_ETHNICITY_HISPANIC/LATINO - COLOMBIAN,structured
static_ETHNICITY_HISPANIC/LATINO - CUBAN,structured
static_ETHNICITY_HISPANIC/LATINO - DOMINICAN,structured
static_ETHNICITY_HISPANIC/LATINO - GUATEMALAN,structured
static_ETHNICITY_HISPANIC/LATINO - HONDURAN,structured
static_ETHNICITY_HISPANIC/LATINO - MEXICAN,structured
static_ETHNICITY_HISPANIC/LATINO - PUERTO RICAN,structured
static_ETHNICITY_HISPANIC/LATINO - SALVADORAN,structured
static_ETHNICITY_MIDDLE EASTERN,structured
static_ETHNICITY_MULTI RACE ETHNICITY,structured
static_ETHNICITY_NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,structured
static_ETHNICITY_OTHER,structured
static_ETHNICITY_PATIENT DECLINED TO ANSWER,structured
static_ETHNICITY_PORTUGUESE,structured
static_ETHNICITY_SOUTH AMERICAN,structured
static_ETHNICITY_UNABLE TO OBTAIN,structured
static_ETHNICITY_UNKNOWN/NOT SPECIFIED,structured
static_ETHNICITY_WHITE,structured
static_ETHNICITY_WHITE - BRAZILIAN,structured
static_ETHNICITY_WHITE - EASTERN EUROPEAN,structured
static_ETHNICITY_WHITE - OTHER EUROPEAN,structured
static_ETHNICITY_WHITE - RUSSIAN,structured
static_FIRST_CAREUNIT_CCU,structured
static_FIRST_CAREUNIT_CSRU,structured
static_FIRST_CAREUNIT_MICU,structured
static_FIRST_CAREUNIT_SICU,structured
static_FIRST_CAREUNIT_TSICU,structured
static_LAST_CAREUNIT_CCU,structured
static_LAST_CAREUNIT_CSRU,structured
static_LAST_CAREUNIT_MICU,structured
static_LAST_CAREUNIT_SICU,structured
static_LAST_CAREUNIT_TSICU,structured
note_window_count,note_metadata
note_total_count,note_metadata
note_mean_count_per_window,note_metadata
note_max_count_per_window,note_metadata
note_closest_window_index,note_metadata
note_oldest_window_index,note_metadata
note_closest_recency_hours,note_metadata
note_oldest_recency_hours,note_metadata
category_window_physician,note_metadata
category_note_physician,note_metadata
category_window_nursing,note_metadata
category_note_nursing,note_metadata
category_window_radiology,note_metadata
category_note_radiology,note_metadata
antibiotic_count_48h,clinical_event
antibiotic_flag_48h,clinical_event
antibiotic_hours_since_last,clinical_event
vasopressor_count_48h,clinical_event
vasopressor_flag_48h,clinical_event
vasopressor_hours_since_last,clinical_event
culture_count_48h,clinical_event
culture_flag_48h,clinical_event
culture_hours_since_last,clinical_event
